date,intensite_max_mm_h,source,pluie_mm
1980-01-21,16.54386355408553,reconstitué,0.5
1980-01-22,17.45867676546421,reconstitué,1.8
1980-02-01,18.680652033214464,reconstitué,4.0
1980-02-02,157.74504500256683,reconstitué,1191.8
1980-03-13,16.81724519809571,reconstitué,5.8
1980-03-30,14.619415476047092,reconstitué,0.4
1980-04-09,12.443582596368621,reconstitué,2.9
1980-04-26,13.100477531278697,reconstitué,5.8
1980-05-10,11.699794541178786,reconstitué,35.8
1980-05-12,9.312369439456365,reconstitué,3.6
1980-05-13,8.584410162836145,reconstitué,0.9
1980-05-14,9.693814657969313,reconstitué,6.0
1980-05-15,8.451972308028722,reconstitué,0.6
1980-05-18,11.783955992699884,reconstitué,37.7
1980-05-19,10.012731743013363,reconstitué,8.7
1980-05-28,11.562558021418363,reconstitué,32.8
1980-05-31,8.624438659397011,reconstitué,1.0
1980-06-09,8.599546105128631,reconstitué,27.8
1980-06-10,9.248259416612088,reconstitué,46.5
1980-06-13,6.326958645816165,reconstitué,0.5
1980-06-14,8.194940178677232,reconstitué,18.6
1980-06-18,8.460308659807492,reconstitué,24.4
1980-06-19,6.146660746688025,reconstitué,0.1
1980-06-21,7.146574847549578,reconstitué,4.4
1980-06-27,6.326958645816165,reconstitué,0.5
1980-06-30,6.365216192225293,reconstitué,0.6
1980-07-07,5.3515500228389765,reconstitué,0.7
1980-07-10,5.461436278332945,reconstitué,1.1
1980-07-12,6.044728478014113,reconstitué,4.9
1980-07-13,7.001160567676623,reconstitué,21.3
1980-07-15,6.236390471768921,reconstitué,7.0
1980-07-19,6.91183196286279,reconstitué,19.1
1980-07-20,5.485990175019192,reconstitué,1.2
1980-07-22,5.615535679008593,reconstitué,1.8
1980-07-25,6.886418018832193,reconstitué,18.5
1980-07-28,6.291336324362534,reconstitué,7.7
1980-07-30,5.215669002090565,reconstitué,0.3
1980-07-31,5.785571978999265,reconstitué,2.8
1980-08-06,5.603004289580888,reconstitué,2.3
1980-08-07,5.336861482729342,reconstitué,1.0
1980-08-08,6.4142806204205325,reconstitué,11.3
1980-08-09,5.5326929330570245,reconstitué,1.9
1980-08-10,5.849825721603846,reconstitué,4.1
1980-08-12,5.995211947197239,reconstitué,5.5
1980-08-13,5.03863685069204,reconstitué,0.1
1980-08-14,5.120088098367495,reconstitué,0.3
1980-08-15,7.562799372749582,reconstitué,42.9
1980-08-18,5.1909812219121365,reconstitué,0.5
1980-08-20,6.700350304175187,reconstitué,17.0
1980-08-24,6.396819482179817,reconstitué,11.0
1980-08-25,5.82643373938388,reconstitué,3.9
1980-08-26,5.336861482729342,reconstitué,1.0
1980-08-28,6.408494972511554,reconstitué,11.2
1980-08-30,6.366995870523792,reconstitué,10.5
1980-09-06,8.37977044464164,reconstitué,32.7
1980-09-08,8.545357702997816,reconstitué,37.6
1980-09-09,6.244744459423832,reconstitué,1.2
1980-09-12,8.458842343363044,reconstitué,35.0
1980-09-13,6.0232233048877974,reconstitué,0.5
1980-09-15,6.880338592085158,reconstitué,5.0
1980-09-16,7.286261274861774,reconstitué,9.5
1980-09-18,8.043552279827049,reconstitué,23.8
1980-09-19,7.492989793442989,reconstitué,12.6
1980-09-20,6.059894904185256,reconstitué,0.6
1980-09-21,6.059894904185256,reconstitué,0.6
1980-09-22,6.217318160250564,reconstitué,1.1
1980-09-24,7.248814373501732,reconstitué,9.0
1980-09-25,6.158815775491867,reconstitué,0.9
1980-09-30,8.744668251655604,reconstitué,43.9
1980-10-06,8.999942050587132,reconstitué,5.3
1980-10-07,9.353779067716996,reconstitué,8.3
1980-10-08,11.266552914656014,reconstitué,42.7
1980-10-09,9.343548748103613,reconstitué,8.2
1980-10-12,7.77286406590458,reconstitué,0.3
1980-10-13,9.953415787694363,reconstitué,15.7
1980-10-19,10.390557840382568,reconstitué,23.1
1980-10-20,9.611392927845241,reconstitué,11.1
1980-10-24,8.802283283425153,reconstitué,4.0
1980-10-26,10.219409745004926,reconstitué,20.0
1980-10-27,8.677407105784072,reconstitué,3.3
1980-10-30,8.390588870678968,reconstitué,2.0
1980-11-13,12.342162402651523,reconstitué,6.0
1980-11-21,13.216882379955821,reconstitué,12.9
1980-11-30,12.57554489157725,reconstitué,7.5
1981-02-01,18.680652033214464,reconstitué,4.0
1981-02-02,170.41689263509602,reconstitué,1244.4
1981-03-12,17.481198001094192,reconstitué,9.2
1981-03-28,14.52660995331658,reconstitué,0.3
1981-04-08,12.775730539543828,reconstitué,4.2
1981-04-10,13.92055429181152,reconstitué,11.6
1981-04-24,11.124145689032677,reconstitué,0.1
1981-04-28,13.4732050469174,reconstitué,8.1
1981-04-30,11.361126230403338,reconstitué,0.4
1981-05-06,9.053598781359355,reconstitué,2.4
1981-05-07,9.233244209993172,reconstitué,3.2
1981-05-09,10.875171206770133,reconstitué,19.8
1981-05-15,8.451972308028722,reconstitué,0.6
1981-05-16,11.364673141081102,reconstitué,28.7
1981-05-25,8.976753344351753,reconstitué,2.1
1981-05-27,11.866236541543147,reconstitué,39.6
1981-06-15,8.975196938226912,reconstitué,38.1
1981-06-16,7.6213525362559595,reconstitué,9.2
1981-06-18,7.613482402811207,reconstitué,9.1
1981-06-19,6.75306374056903,reconstitué,2.0
1981-06-20,6.2430574085379975,reconstitué,0.3
1981-06-26,9.540643791887891,reconstitué,56.2
1981-06-27,7.196995067115878,reconstitué,4.8
1981-06-28,7.432494008286309,reconstitué,7.0
1981-06-30,8.19989958549938,reconstitué,18.7
1981-07-08,6.558946385088587,reconstitué,11.8
1981-07-09,6.186201188847819,reconstitué,6.4
1981-07-10,5.739067694070457,reconstitué,2.5
1981-07-14,6.860500983767292,reconstitué,17.9
1981-07-16,6.328516074364943,reconstitué,8.2
1981-07-20,6.630416956576137,reconstitué,13.1
1981-07-22,5.175858477225356,reconstitué,0.2
1981-07-25,7.79459940578826,reconstitué,46.5
1981-07-27,7.261520433493171,reconstitué,28.5
1981-07-28,5.485990175019192,reconstitué,1.2
1981-07-31,5.381015156602162,reconstitué,0.8
