date,pluie_mm,intensite_max_mm_h,mois,saison
2004-06-03,0.0,3.333333333333333,6,pluies
2004-06-04,4.0,17.4,6,pluies
2004-06-06,0.0,19.25,6,pluies
2004-06-08,6.2,7.434782608695653,6,pluies
2004-06-09,2.7,2.0,6,pluies
2004-06-11,0.0,13.23529411764706,6,pluies
2004-06-12,40.0,1.5925925925925923,6,pluies
2004-06-16,0.0,8.461538461538462,6,pluies
2004-06-17,0.0,1.2,6,pluies
2004-06-20,0.0,1.6923076923076923,6,pluies
2004-06-21,20.5,35.16666666666667,6,pluies
2004-06-24,0.0,9.857142857142858,6,pluies
2004-06-28,14.0,5.999999999999999,6,pluies
2004-06-29,0.0,6.333333333333333,6,pluies
2004-06-30,0.0,3.125,6,pluies
2004-07-02,0.0,6.727272727272728,7,pluies
2004-07-03,14.9,0.4,7,pluies
2004-07-04,0.0,7.769230769230768,7,pluies
2004-07-05,22.9,4.835820895522388,7,pluies
2004-07-06,0.0,14.000000000000002,7,pluies
2004-07-09,3.6,15.4,7,pluies
2004-07-10,0.0,10.249999999999998,7,pluies
2004-07-11,4.5,3.3043478260869565,7,pluies
2004-07-16,21.5,11.0,7,pluies
2004-07-17,0.0,2.333333333333333,7,pluies
2004-07-18,0.0,3.2790697674418605,7,pluies
2004-07-20,0.0,5.162790697674419,7,pluies
2004-07-21,14.8,3.0000000000000004,7,pluies
2004-07-23,0.0,3.1,7,pluies
2004-07-24,27.0,6.588235294117647,7,pluies
2004-07-26,0.0,11.2,7,pluies
2004-07-27,36.0,5.461538461538461,7,pluies
2004-07-28,0.0,1.5,7,pluies
2004-07-29,46.4,1.0714285714285714,7,pluies
2004-07-30,0.0,8.0,7,pluies
2004-08-03,6.1,25.33333333333333,8,pluies
2004-08-05,0.0,2.575,8,pluies
2004-08-08,0.0,1.0,8,pluies
2004-08-10,0.0,12.124999999999998,8,pluies
2004-08-11,0.0,0.7222222222222222,8,pluies
2004-08-15,0.0,12.166666666666666,8,pluies
2004-08-17,2.5,1.2857142857142858,8,pluies
2004-08-21,0.0,0.3333333333333333,8,pluies
2004-08-22,0.0,7.666666666666666,8,pluies
2004-08-23,0.0,6.25,8,pluies
2004-08-26,0.0,10.333333333333334,8,pluies
2004-08-27,17.2,15.583333333333334,8,pluies
2004-08-28,0.9,22.1875,8,pluies
2004-08-29,0.0,11.823529411764708,8,pluies
2004-08-30,18.7,1.4999999999999998,8,pluies
2004-09-02,0.0,20.75,9,pluies
2004-09-03,17.5,7.214285714285714,9,pluies
2004-09-04,19.3,0.923076923076923,9,pluies
2004-09-05,35.6,13.869565217391305,9,pluies
2004-09-06,0.0,0.4390243902439025,9,pluies
2004-09-08,0.0,0.5714285714285715,9,pluies
2004-09-09,0.0,2.0,9,pluies
2004-09-10,6.4,4.235294117647059,9,pluies
2004-09-11,0.0,1.4,9,pluies
2004-09-12,13.4,5.999999999999999,9,pluies
2004-09-15,0.0,18.666666666666668,9,pluies
2004-09-16,0.0,5.260869565217392,9,pluies
2004-09-17,0.0,1.0,9,pluies
2004-09-20,0.0,4.0,9,pluies
2004-09-21,10.5,9.0,9,pluies
2004-09-22,4.5,2.0,9,pluies
2004-09-26,7.6,2.3529411764705883,9,pluies
2004-09-29,1.2,3.794117647058824,9,pluies
2004-09-30,24.8,0.6666666666666666,9,pluies
2004-10-02,1.2,1.0,10,pluies
2004-10-04,4.8,4.0,10,pluies
2004-10-06,0.0,12.428571428571429,10,pluies
2004-10-10,0.0,5.374999999999999,10,pluies
2004-10-11,17.7,2.555555555555556,10,pluies
2004-10-20,0.0,4.0,10,pluies
2004-10-22,0.0,1.6666666666666667,10,pluies
2004-10-23,0.0,4.857142857142858,10,pluies
2004-10-24,0.0,4.923076923076923,10,pluies
2005-06-04,0.0,30.375,6,pluies
2005-06-07,0.0,2.333333333333333,6,pluies
2005-06-09,0.0,6.333333333333333,6,pluies
2005-06-11,0.0,5.966666666666666,6,pluies
2005-06-12,1.9,11.0,6,pluies
2005-06-15,17.9,38.5,6,pluies
2005-06-17,0.0,9.499999999999998,6,pluies
2005-06-19,24.6,8.0,6,pluies
2005-06-21,0.0,4.333333333333334,6,pluies
2005-06-22,5.5,18.0,6,pluies
2005-06-24,5.1,7.666666666666666,6,pluies
2005-06-25,5.2,6.307692307692307,6,pluies
2005-06-28,1.8,12.65,6,pluies
2005-06-30,2.3,1.8,6,pluies
2005-07-06,0.0,15.0,7,pluies
2005-07-09,4.5,2.8461538461538463,7,pluies
2005-07-10,0.0,2.944444444444444,7,pluies
2005-07-12,4.0,2.5,7,pluies
2005-07-13,5.6,9.375,7,pluies
2005-07-15,0.0,0.5714285714285715,7,pluies
2005-07-16,4.5,2.55,7,pluies
2005-07-18,6.7,4.4,7,pluies
2005-07-19,0.8,0.8181818181818181,7,pluies
2005-07-22,0.0,6.909090909090908,7,pluies
2005-07-23,2.2,5.0,7,pluies
2005-07-24,1.8,4.319148936170213,7,pluies
2005-07-27,0.0,1.3913043478260871,7,pluies
2005-07-28,7.6,3.125,7,pluies
2005-07-29,3.9,7.166666666666667,7,pluies
2005-07-30,20.3,1.3333333333333337,7,pluies
2005-08-11,1.2,11.0,8,pluies
2005-08-12,0.0,1.0,8,pluies
2005-08-16,0.9,10.555555555555555,8,pluies
2005-08-17,0.0,4.0,8,pluies
2005-08-19,0.0,25.25,8,pluies
2005-08-21,9.5,12.666666666666666,8,pluies
2005-08-23,0.0,11.181818181818182,8,pluies
2005-08-24,10.1,1.952380952380952,8,pluies
2005-08-25,23.0,11.709677419354838,8,pluies
2005-08-28,0.0,7.230769230769231,8,pluies
2005-08-29,12.3,1.4,8,pluies
2005-08-30,4.1,2.5,8,pluies
2005-09-03,15.6,3.545454545454545,9,pluies
2005-09-04,0.0,3.0,9,pluies
2005-09-05,7.8,50.66666666666666,9,pluies
2005-09-07,15.2,18.0,9,pluies
2005-09-15,0.0,3.333333333333333,9,pluies
2005-09-17,0.0,8.571428571428571,9,pluies
2005-09-18,10.5,6.782608695652175,9,pluies
2005-09-21,6.0,10.333333333333334,9,pluies
2005-09-23,20.8,37.75,9,pluies
2005-09-24,0.0,1.5625,9,pluies
2005-09-28,0.0,1.3333333333333337,9,pluies
2005-09-29,30.2,23.0,9,pluies
2005-09-30,10.0,10.333333333333334,9,pluies
2005-10-03,0.0,24.0,10,pluies
2005-10-05,13.5,39.375,10,pluies
2005-10-06,0.0,21.25,10,pluies
2005-10-09,22.4,14.499999999999998,10,pluies
2005-10-10,0.0,2.666666666666667,10,pluies
2005-10-11,3.8,8.0,10,pluies
2005-10-15,0.8,29.333333333333336,10,pluies
2006-06-08,0.2,2.0,6,pluies
2006-06-09,19.8,11.0,6,pluies
2006-06-12,3.1,2.5,6,pluies
2006-06-13,0.5,7.285714285714286,6,pluies
2006-06-14,5.1,6.5,6,pluies
2006-06-15,2.9,1.0,6,pluies
2006-06-19,4.3,3.0,6,pluies
2006-06-21,0.3,3.0,6,pluies
2006-07-02,13.2,12.5,7,pluies
2006-07-03,8.1,7.764705882352941,7,pluies
2006-07-04,33.3,20.25,7,pluies
2006-07-08,0.5,2.5,7,pluies
2006-07-13,0.4,29.5,7,pluies
2006-07-14,5.9,17.375,7,pluies
2006-07-15,14.3,6.466666666666666,7,pluies
2006-07-19,13.7,7.75,7,pluies
2006-07-21,5.6,1.4871794871794872,7,pluies
2006-07-22,13.2,2.0,7,pluies
2006-07-24,5.8,6.5,7,pluies
2006-07-25,0.2,4.34375,7,pluies
2006-07-26,7.9,1.0,7,pluies
2006-07-27,2.6,5.848484848484849,7,pluies
2006-07-28,14.3,4.688888888888889,7,pluies
2006-07-30,0.7,6.157894736842105,7,pluies
2006-07-31,19.6,16.416666666666668,7,pluies
